label,i,j,rho_star,drho_mean,reff_mean,zone,nonstationary_pct
GS-JPM,3,4,0.762212267138619,0.007096732872485113,1.2688093433893255,reliable,60.0
C-JPM,1,4,0.7299834317944891,0.006855044657660942,1.3087373931153576,reliable,42.857142857142854
C-GS,1,3,0.6776148774883978,0.009412758946665075,1.3716069399348862,reliable,54.285714285714285
AAPL-GOOGL,0,2,0.6053887566288448,0.017032548229552587,1.4542387095742417,reliable,45.714285714285715
GOOGL-GS,2,3,0.5401420126247388,0.015874197084276644,1.5355849609297954,reliable,51.42857142857143
GOOGL-JPM,2,4,0.5277721722390352,0.013826074163085457,1.5518192451017385,reliable,40.0
GOOGL-MSFT,2,5,0.5077969291701517,0.018929347616560257,1.5694193050194836,reliable,42.857142857142854
JPM-MSFT,4,5,0.49662081697341337,0.017076942934677517,1.5856357681521807,reliable,45.714285714285715
GS-MSFT,3,5,0.47937430101733375,0.016919787277407797,1.6037528945374881,reliable,42.857142857142854
AAPL-GS,0,3,0.4767986254157983,0.014955156032158386,1.6095367199816117,reliable,34.285714285714285
AAPL-MSFT,0,5,0.47614799156683124,0.019063428492576546,1.6021122152619398,reliable,57.142857142857146
C-GOOGL,1,2,0.4627037796625179,0.023926733669004805,1.6261139116433894,reliable,42.857142857142854
AAPL-JPM,0,4,0.4538179081396273,0.015560554994514803,1.6336013183804425,reliable,40.0
C-MSFT,1,5,0.4391016469906818,0.017788933210846177,1.6517478738740947,marginal,34.285714285714285
AAPL-C,0,1,0.39928384632299735,0.016220925052029492,1.697439747117353,marginal,31.428571428571427
