label,i,j,rho_star,drho_mean,reff_mean,zone,nonstationary_pct
GS-JPM,1,2,0.7365411461053794,0.008761669100912627,1.3020614703779945,reliable,36.0
AAPL-MSFT,0,4,0.37991560732227525,0.015766518750179353,1.7050977929886142,marginal,44.0
GS-MSFT,1,4,0.35887496148099773,0.02180116587765545,1.7354403520403512,marginal,20.0
JPM-MSFT,2,4,0.3337525170176948,0.02456918899860452,1.7577394653392315,marginal,36.0
AAPL-GS,0,1,0.33215632086383434,0.0214691890872427,1.7633337754030962,marginal,40.0
JPM-XOM,2,5,0.32384718912822064,0.027208223162171686,1.7730137485000237,marginal,40.0
GS-XOM,1,5,0.29318142533917746,0.024899773099349962,1.8000467586507616,marginal,56.0
AAPL-JPM,0,2,0.2893238878955143,0.02101827820956338,1.8006624420294428,marginal,44.0
LMT-MSFT,3,4,0.24681318445389475,0.022432721121274573,1.8525911111271944,marginal,20.0
GS-LMT,1,3,0.23804324975549998,0.019902252469368612,1.862616219165512,marginal,36.0
LMT-XOM,3,5,0.23338832700203022,0.019925445792500662,1.8568509138054818,marginal,16.0
JPM-LMT,2,3,0.2325243173091161,0.02406999750260111,1.8623239158899216,marginal,48.0
AAPL-XOM,0,5,0.22692295884788888,0.0204304781831832,1.8635773958495772,marginal,36.0
AAPL-LMT,0,3,0.22603650117757457,0.02760267898557238,1.8654322956254201,marginal,20.0
MSFT-XOM,4,5,0.2219808549248918,0.02577873712877062,1.8688294778279833,marginal,40.0
