label,i,j,rho_star,drho_mean,reff_mean,zone,nonstationary_pct
GS-JPM,1,2,0.6885309683229607,0.04537062284124369,1.3534194197934681,reliable,43.47826086956522
JPM-MSFT,2,4,0.5091226242986735,0.112610088142387,1.5673918038802284,reliable,30.434782608695652
JPM-LMT,2,3,0.49430113578952484,0.10527100777049862,1.5719689554534908,reliable,30.434782608695652
MSFT-XOM,4,5,0.49340061798162516,0.10092549510779836,1.5793530343032054,reliable,39.130434782608695
AAPL-GS,0,1,0.4646135855023809,0.07937996904104011,1.6166572436266629,reliable,43.47826086956522
AAPL-JPM,0,2,0.46207558342550187,0.08283413801504912,1.6157127070316317,reliable,26.08695652173913
JPM-XOM,2,5,0.4620249469339321,0.08455807721604322,1.6228787013937227,reliable,30.434782608695652
AAPL-XOM,0,5,0.4537825586006231,0.09718266463046217,1.6326401983577536,reliable,52.17391304347826
GS-XOM,1,5,0.4519408507832513,0.0779270815578624,1.6278972690423912,reliable,39.130434782608695
AAPL-LMT,0,3,0.45194030556565956,0.08730038216379286,1.6323879451656678,reliable,47.82608695652174
AAPL-MSFT,0,4,0.45191198508771135,0.09647586659262834,1.628774702004516,reliable,47.82608695652174
LMT-MSFT,3,4,0.44964787843811393,0.09038594528927481,1.6265665969184526,marginal,39.130434782608695
GS-MSFT,1,4,0.4404494908266955,0.09758773648809123,1.6290107689841302,marginal,39.130434782608695
LMT-XOM,3,5,0.41925111664208714,0.0672708275059585,1.670648471376958,marginal,17.391304347826086
GS-LMT,1,3,0.4086252333265601,0.08670123348519518,1.6784873933424211,marginal,21.73913043478261
