label,i,j,rho_star,drho_mean,reff_mean,zone,nonstationary_pct
CL=F-USO,0,4,0.9106751406714574,0.016202210903023696,1.0977807666909407,reliable,69.56521739130434
CVX-XOM,1,5,0.8059847123903727,0.02371469121765347,1.219593274575178,reliable,65.21739130434783
CVX-USO,1,4,0.6978967430058101,0.03093376282414237,1.345983824179959,reliable,43.47826086956522
USO-XOM,4,5,0.6917406152336215,0.034084354943124284,1.352778238041453,reliable,52.17391304347826
CL=F-XOM,0,5,0.6779574776829217,0.036579983711129804,1.3656774999564143,reliable,56.52173913043478
CL=F-CVX,0,1,0.6678278475862075,0.04234253016544586,1.3849991043511463,reliable,47.82608695652174
CL=F-GC=F,0,2,0.4944188675024104,0.11750035914699793,1.5862211681083875,reliable,17.391304347826086
GC=F-LMT,2,3,0.47549350710335614,0.09512755353521252,1.6011397982498088,reliable,30.434782608695652
CL=F-LMT,0,3,0.4598973809699985,0.08540433846319517,1.6159577940791359,reliable,34.78260869565217
CVX-GC=F,1,2,0.45418812597239006,0.08695367084285256,1.6209073689135631,reliable,43.47826086956522
GC=F-USO,2,4,0.4490885429870752,0.10071061503205407,1.6265930871226904,marginal,34.78260869565217
CVX-LMT,1,3,0.43128608121661954,0.06569768118102984,1.6516928298312172,marginal,13.043478260869565
GC=F-XOM,2,5,0.4238236732332172,0.06877848519212887,1.6567985037365898,marginal,73.91304347826087
LMT-XOM,3,5,0.4209156274048312,0.06678617629298352,1.6687694971841187,marginal,17.391304347826086
LMT-USO,3,4,0.405974214433971,0.07828288322038474,1.6710091575049675,marginal,52.17391304347826
