label,i,j,rho_star,drho_mean,reff_mean,zone,nonstationary_pct
CSCO-INTC,2,3,0.6757957286097814,0.008688483276745967,1.375563202190818,reliable,45.714285714285715
INTC-MSFT,3,4,0.6143981731375745,0.01205708749007607,1.4456782211387347,reliable,37.142857142857146
CSCO-ORCL,2,5,0.6117111439565058,0.018695943897984308,1.4530287532200281,reliable,51.42857142857143
AAPL-INTC,0,3,0.6072258766162184,0.00982459991937513,1.4602414924508513,reliable,34.285714285714285
CSCO-MSFT,2,4,0.5702960241206342,0.011496350996737195,1.4984434349370712,reliable,48.57142857142857
INTC-ORCL,3,5,0.5446166383913527,0.016818280482374943,1.525623967175167,reliable,51.42857142857143
AAPL-CSCO,0,2,0.538102068309147,0.012322864682418581,1.5448906832412856,reliable,28.571428571428573
MSFT-ORCL,4,5,0.5232625526794259,0.016036640098557906,1.5529152108215882,reliable,37.142857142857146
AAPL-MSFT,0,4,0.5092512642602902,0.014229115788901632,1.5748128660990126,reliable,40.0
AAPL-ORCL,0,5,0.45683940170766907,0.018058660679989645,1.6304585053888516,reliable,34.285714285714285
AMZN-CSCO,1,2,0.42476625952000324,0.01453686692288783,1.6673387674399498,marginal,40.0
AMZN-INTC,1,3,0.40116402042682126,0.018494592291691366,1.6975610249729784,marginal,34.285714285714285
AMZN-MSFT,1,4,0.3780819126384517,0.01650416854088325,1.7168141562728454,marginal,40.0
AMZN-ORCL,1,5,0.3464146040999772,0.020097773040703478,1.7537196687199808,marginal,37.142857142857146
AAPL-AMZN,0,1,0.3075625706712716,0.015214019209813294,1.7934574173304036,marginal,14.285714285714286
